# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
dang ci 	档次	c=1 d=1 t=18414
dang ke 	党课	c=1 d=1 t=11224
dang kou 	档口	c=3 d=2.96062 t=1869
dang mian 	当面	c=3 d=1 t=23860
dang nian 	当年	c=4 d=1.01523 t=14175
dang shi 	当时	c=2 d=1 t=23974
dang shi guan 	党史馆	c=3 d=1.8825 t=25132
dang tu qiang 	挡土墙	c=1 d=1 t=10626
dang yan 	挡烟	c=4 d=1.89137 t=16483
dang yan chui bi 	挡烟垂壁	c=1 d=1 t=16800
dao 	倒	c=2 d=1 t=16569
dao 	刀	c=1 d=1 t=17116
dao 	到	c=93 d=1.00553 t=28424
dao 	道	c=4 d=1.29523 t=8763
dao di 	到底	c=6 d=1 t=24511
dao ding 	到顶	c=3 d=2.18313 t=9799
dao geng huo zhong 	刀耕火种	c=1 d=1 t=12605
dao jia 	到家	c=4 d=1.0283 t=22694
dao jing 	到京	c=1 d=1 t=8565
dao li 	道理	c=1 d=1 t=680
dao ru 	导入	c=1 d=1 t=5318
dao shi 	倒是	c=4 d=1.00713 t=23334
dao wei 	到位	c=1 d=1 t=3722
de 	得	c=57 d=1.08459 t=27844
de 	的	c=1 d=1 t=266
de guo 	德国	c=2 d=1.99005 t=21749
de sheng 	德胜	c=2 d=1.92312 t=14244
de shi 	的是	c=1 d=1 t=13577
de yi 	得意	c=2 d=1 t=26259
deng 	等	c=19 d=2.21647 t=28039
deng 	邓	c=8 d=1.00001 t=21650
deng cao 	灯槽	c=1 d=1 t=1097
deng deng 	等等	c=1 d=1 t=1912
deng guang 	灯光	c=1 d=1 t=8267
deng ji 	登机	c=2 d=1 t=10154
deng jia 	等价	c=2 d=1.99501 t=12814
deng lu 	登录	c=1 d=1 t=12049
deng si 	等死	c=1 d=1 t=14943
deng xiang 	灯箱	c=4 d=2.59888 t=27631
deng yu 	等于	c=1 d=1 t=2072
deng zhe 	等着	c=5 d=1 t=20434
di 	低	c=6 d=1.72615 t=23227
di 	地	c=3 d=1 t=28008
di 	滴	c=1 d=1 t=24670
di 	缔	c=1 d=1 t=2767
di 	蒂	c=1 d=1 t=2766
di 	迪	c=3 d=1 t=6320
di ban 	地板	c=6 d=1 t=22838
di biao 	地标	c=1 d=1 t=4126
di biao 	地表	c=1 d=1 t=26152
di chan 	地产	c=3 d=1 t=21851
di da 	嘀嗒	c=2 d=1.89583 t=20447
di dian 	低点	c=1 d=1 t=17093
di dian 	地点	c=1 d=1 t=18383
di er 	第二	c=4 d=1.00087 t=19113
di er ci 	第二次	c=1 d=1 t=21328
di er tian 	第二天	c=1 d=1 t=22021
di fang 	地方	c=36 d=1.59009 t=28064
di fen 	低分	c=2 d=1.94176 t=23185
di guo 	帝国	c=2 d=1.97045 t=26494
di jiu zhang 	第九章	c=1 d=1 t=21316
di ku 	底裤	c=1 d=1 t=12041
di kuai 	地块	c=1 d=1 t=15281
di lou 	地漏	c=3 d=1 t=19843
di mian 	地面	c=8 d=1.92868 t=17859
di nuan 	地暖	c=11 d=1 t=26291
di nuan tu 	地暖图	c=1 d=1 t=19046
di qiu 	地球	c=2 d=1 t=12514
di qu 	地区	c=3 d=2.9458 t=20758
di san 	第三	c=1 d=1 t=7370
di san ban 	第三版	c=3 d=2.63828 t=6321
di shang 	地上	c=7 d=1 t=24743
di shang 	底商	c=1 d=1 t=25168
di shi ni 	迪士尼	c=1 d=1 t=13305
di tan 	低碳	c=2 d=1.73345 t=25368
di tie 	地铁	c=3 d=1 t=22070
di wen 	低温	c=2 d=1 t=26995
di xia 	地下	c=28 d=2.05686 t=27743
di yi 	第一	c=2 d=1 t=12433
di yi ban 	第一版	c=2 d=1.79057 t=6266
di yi bu 	第一步	c=1 d=1 t=24810
di yi fang 	第一方	c=1 d=1 t=9165
di yi wei 	第一维	c=1 d=1 t=3298
di zhi 	地址	c=10 d=1 t=26245
dian 	店	c=2 d=1.42528 t=13644
dian 	点	c=55 d=2.28813 t=27235
dian 	电	c=12 d=1 t=26290
dian ban re 	电伴热	c=1 d=1 t=21464
dian bao 	电报	c=3 d=1 t=26806
dian bao qun 	电报群	c=1 d=1 t=16354
dian biao 	电表	c=1 d=1 t=2454
dian chi 	电池	c=7 d=1.28066 t=18221
dian dong 	电动	c=6 d=1 t=24594
dian hua 	电话	c=24 d=1.00425 t=27721
dian kong 	电控	c=1 d=1 t=12727
dian li 	电力	c=2 d=1 t=22432
dian liang 	电量	c=5 d=1.92378 t=22513
dian nao 	电脑	c=5 d=1 t=17878
dian ping 	点评	c=1 d=1 t=3379
dian pu 	店铺	c=5 d=1 t=27790
dian qi 	电气	c=23 d=1.84028 t=21660
dian re 	电热	c=1 d=1 t=20096
dian rong 	电熔	c=1 d=1 t=12142
dian ti 	电梯	c=7 d=1 t=17835
dian ti ting 	电梯厅	c=1 d=1 t=7398
dian wei 	点位	c=4 d=1.4607 t=16790
dian ying 	电影	c=6 d=1.00001 t=27566
dian ying yuan 	电影院	c=7 d=3.49123 t=25185
dian yuan 	电源	c=1 d=1 t=21524
dian zi 	点子	c=1 d=1 t=13914
dian zi 	电子	c=2 d=1 t=13118
dian zi ban 	电子版	c=1 d=1 t=27060
diao 	吊	c=1 d=1 t=9311
diao 	掉	c=3 d=1 t=23175
diao ding 	吊顶	c=38 d=3.88793 t=27655
diao lian zi 	掉链子	c=1 d=1 t=21124
diao yong 	调用	c=1 d=1 t=23058
die 	跌	c=3 d=1 t=21097
die shui 	跌水	c=3 d=1 t=11157
die shui jing 	跌水井	c=1 d=1 t=5044
ding 	定	c=12 d=1.00065 t=24992
ding 	订	c=5 d=1.06393 t=25531
ding 	顶	c=3 d=1.9802 t=21719
ding biao 	定标	c=1 d=1 t=9860
ding ceng 	顶层	c=1 d=1 t=17698
ding dian 	定点	c=1 d=1 t=16378
ding huo 	订货	c=3 d=1.99501 t=25775
ding pin 	定频	c=1 d=1 t=23798
ding qi 	定期	c=2 d=1.90484 t=21377
ding wei 	定位	c=8 d=1 t=22624
ding yi 	定义	c=5 d=1.02751 t=23046
ding yue 	订阅	c=1 d=1 t=10072
ding zhe 	盯着	c=2 d=1.00007 t=26967
ding zhe 	顶着	c=1 d=1 t=12281
dong 	动	c=3 d=1 t=13575
dong 	懂	c=2 d=1 t=26230
dong 	洞	c=2 d=1 t=27196
dong 	董	c=5 d=1 t=14845
dong bei 	东北	c=2 d=1 t=20761
dong bian 	东边	c=1 d=1 t=28259
dong ce 	东侧	c=4 d=1 t=27632
dong gan 	动感	c=1 d=1 t=16947
dong guan 	东莞	c=1 d=1 t=7518
dong hao 	东浩	c=3 d=2.23479 t=6927
dong ji 	冬季	c=3 d=1 t=20792
dong jie 	冻结	c=1 d=1 t=24430
dong jing 	动静	c=2 d=1.91393 t=26800
dong kou 	洞口	c=4 d=2.75225 t=19693
dong li 	动力	c=1 d=1 t=14798
dong tian 	冬天	c=1 d=1 t=9237
dong xi 	东西	c=8 d=1 t=26881
dong xia 	冬夏	c=5 d=1 t=24320
dong ya 	东亚	c=1 d=1 t=8656
dong zuo 	动作	c=3 d=1.89137 t=27576
dou 	斗	c=1 d=1 t=6238
dou 	豆	c=1 d=1 t=8801
dou 	都	c=113 d=1.05892 t=28398
dou bu 	都不	c=1 d=1 t=16492
dou ding 	都订	c=1 d=1 t=2904
dou shi 	都是	c=43 d=1.00039 t=27465
dou xing 	都行	c=3 d=1 t=27067
dou yin 	抖音	c=1 d=1 t=14366
dou you 	都有	c=1 d=1 t=24466
dou zai 	都在	c=1 d=1 t=17564
du 	度	c=9 d=1.06522 t=26713
du 	杜	c=1 d=1 t=23468
du 	赌	c=1 d=1 t=26812
du bi 	杜比	c=1 d=1 t=13977
du cu 	督促	c=1 d=1 t=17024
du li 	独立	c=10 d=2.051 t=21573
du qi 	肚脐	c=1 d=1 t=14884
du shu 	读书	c=0 d=0.1 t=17260
du xin 	镀锌	c=6 d=3.53166 t=2725
du zi 	肚子	c=1 d=1 t=13534
duan 	断	c=1 d=1 t=2152
duan 	段	c=5 d=1 t=24288
duan 	短	c=3 d=1 t=22329
duan 	端	c=1 d=1 t=3807
duan jun 	段钧	c=1 d=1 t=23461
duan lian 	锻炼	c=3 d=1 t=26171
duan mao 	短毛	c=1 d=1 t=21348
duan wang 	断网	c=1 d=1 t=18531
duan xin 	短信	c=4 d=1.96561 t=18105
dui 	对	c=76 d=1.00489 t=27281
dui 	怼	c=3 d=1 t=27758
dui 	队	c=1 d=1 t=14822
dui bi 	对比	c=1 d=1 t=17510
dui bu 	对不	c=1 d=1 t=11388
dui bu shang 	对不上	c=1 d=1 t=3203
dui ce 	对策	c=1 d=1 t=27147
dui fang 	对方	c=2 d=1 t=23737
dui gou 	对钩	c=1 d=1 t=21839
dui huan 	兑换	c=1 d=1 t=23694
dui jie 	对接	c=12 d=1.03956 t=26330
dui le 	对了	c=1 d=1 t=8507
dui liu 	对流	c=3 d=1 t=17802
dui mian 	对面	c=1 d=1 t=7209
dui shang 	对上	c=4 d=1 t=27208
dui wai 	对外	c=2 d=1 t=18137
dui wan 	对完	c=1 d=1 t=15292
dui ying 	对应	c=20 d=1.00008 t=27828
dui yu 	对于	c=20 d=2.46158 t=21155
duo 	多	c=56 d=2.83027 t=26431
duo da 	多大	c=1 d=1 t=1023
duo di 	多低	c=1 d=1 t=7577
duo duan 	多端	c=1 d=1 t=3831
duo gao 	多高	c=1 d=1 t=22297
duo ge 	多个	c=1 d=1 t=3748
duo jia 	多家	c=1 d=1 t=10255
duo jiu 	多久	c=2 d=1 t=12109
duo kai 	躲开	c=1 d=1 t=15640
duo nian 	多年	c=1 d=1 t=12487
duo qian 	多钱	c=1 d=1 t=18222
duo shao 	多少	c=28 d=1.01329 t=28139
duo shao qian 	多少钱	c=3 d=1.91393 t=28141
duo wei 	多维	c=1 d=1 t=1783
duo wei shu zu 	多维数组	c=1 d=1 t=1781
duo xie 	多谢	c=4 d=1.2739 t=18083
duo xing 	惰性	c=1 d=1 t=26997
duo yu 	多余	c=1 d=1 t=16992
duo zhe 	多着	c=1 d=1 t=27462
e 	呃	c=3 d=1 t=24363
e 	额	c=2 d=1 t=28137
e 	饿	c=1 d=1 t=1931
e 	鹅	c=5 d=1.95757 t=23615
e luo si 	俄罗斯	c=2 d=1.956 t=23556
e wai 	额外	c=1 d=1 t=2615
en 	嗯	c=4 d=1 t=28036
en en 	嗯嗯	c=4 d=1 t=28021
er 	二	c=7 d=1.00687 t=23579
er 	儿	c=5 d=1 t=28250
er 	而	c=2 d=1 t=12830
er 	耳	c=1 d=1 t=9069
er ceng 	二层	c=3 d=1 t=17898
er ci 	二次	c=4 d=1 t=27586
er ji 	二级	c=1 d=1 t=15754
er ju 	二局	c=22 d=3.12473 t=25798
er qi 	二期	c=2 d=1 t=26248
er qie 	而且	c=9 d=1.00129 t=25347
er shi duo 	二十多	c=1 d=1 t=9819
er tong 	儿童	c=4 d=1 t=24803
er wei 	二位	c=1 d=1 t=8062
er wei 	二维	c=1 d=1 t=28051
er wei ma 	二维码	c=5 d=1 t=27205
er xian 	二线	c=1 d=1 t=13346
er yi 	而已	c=1 d=1 t=1256
fa 	发	c=123 d=2.08058 t=28014
fa 	法	c=3 d=1.03389 t=2340
fa 	阀	c=9 d=1.70822 t=24596
fa biao 	发飙	c=1 d=1 t=12715
fa bu 	发布	c=1 d=1 t=18374
fa bu ting 	发布厅	c=1 d=1 t=16081
fa chu 	发出	c=4 d=1 t=27818
fa cuo 	发错	c=2 d=1 t=28011
fa dai 	发呆	c=2 d=1 t=22909
fa fang 	发放	c=2 d=1.93707 t=21435
fa gui 	法规	c=1 d=1 t=10045
fa jian ren 	发件人	c=1 d=1 t=9006
fa kun 	发困	c=1 d=1 t=22908
fa men 	阀门	c=5 d=1 t=27119
fa pao 	发泡	c=1 d=1 t=6758
fa piao 	发票	c=2 d=1.956 t=6839
fa qiang 	发枪	c=1 d=1 t=24909
fa sheng 	发生	c=2 d=1 t=24556
fa shi 	法式	c=1 d=1 t=16773
fa song 	发送	c=1 d=1 t=24142
fa tu 	发图	c=2 d=1 t=22183
fa wu 	法务	c=1 d=1 t=28390
fa xian 	发现	c=6 d=1.01234 t=23350
fa yin 	发音	c=2 d=1.85642 t=289
fa zi 	发紫	c=1 d=1 t=13976
fan 	凡	c=1 d=1 t=2526
fan 	反	c=1 d=1 t=24433
fan 	犯	c=2 d=1 t=24024
fan 	翻	c=3 d=1 t=24789
fan 	范	c=1 d=1 t=17008
fan 	饭	c=3 d=1 t=26579
fan cuo 	犯错	c=2 d=1.99501 t=27469
fan dui 	反对	c=1 d=1 t=20104
fan fu 	反复	c=1 d=1 t=6054
fan hui 	返回	c=1 d=1 t=14754
fan kui 	反馈	c=22 d=1.00007 t=26392
fan lian 	翻脸	c=1 d=1 t=14339
fan qiang 	翻墙	c=1 d=1 t=504
fan qie 	番茄	c=2 d=1 t=18088
fan qing 	烦请	c=1 d=1 t=1372
fan wei 	范围	c=19 d=1.97557 t=23207
fan yi 	翻译	c=9 d=2.26454 t=21324
fan ying 	反映	c=1 d=1 t=20296
fan zheng 	反正	c=3 d=1 t=20661
fang 	房	c=8 d=1.21212 t=13339
fang 	放	c=7 d=1.02678 t=20079
fang 	方	c=5 d=1 t=27819
fang an 	方案	c=23 d=1.96083 t=27610
fang bian 	方便	c=9 d=1.00001 t=28321
fang cang 	方舱	c=1 d=1 t=10013
fang da 	放大	c=2 d=1 t=10944
fang di chan 	房地产	c=4 d=1 t=21852
fang dong 	防冻	c=11 d=3.95371 t=24718
fang fa 	方法	c=1 d=1 t=14795
fang fang 	放放	c=1 d=1 t=18319
fang huo 	防火	c=9 d=1.20089 t=27519
fang huo ban 	防火板	c=1 d=1 t=15850
fang huo fa 	防火阀	c=13 d=3.52617 t=26750
fang huo men 	防火门	c=3 d=1.7827 t=15930
fang huo qiang 	防火墙	c=1 d=1 t=18962
fang jian 	房间	c=21 d=2.01553 t=27834
fang kuan 	房款	c=1 d=1 t=20194
fang mian 	方面	c=4 d=1 t=25398
fang pai yan 	防排烟	c=2 d=1 t=12775
fang pi 	放屁	c=1 d=1 t=12432
fang san 	放散	c=1 d=1 t=1993
fang shi 	方式	c=13 d=1 t=27826
fang shui 	防水	c=4 d=1.89137 t=15309
fang wen 	访问	c=3 d=1 t=23548
fang xia 	放下	c=0 d=0.1 t=16817
fang xia zhu ren 	放下助人	c=1 d=1 t=16818
fang xin 	放心	c=3 d=1.34473 t=28251
fang yan 	防烟	c=1 d=1 t=5086
fang yan fen qu 	防烟分区	c=2 d=1.8825 t=4792
fang yang 	放羊	c=1 d=1 t=14297
fang ying 	放映	c=4 d=2.81911 t=12808
fang ying ji 	放映机	c=1 d=1 t=17291
fang zai 	放在	c=7 d=1.89011 t=24425
fang zhi 	防止	c=1 d=1 t=24312
fang zhu bu chao 	房住不炒	c=1 d=1 t=13218
fang zi 	房子	c=4 d=1.3588 t=20389
fang zu 	房租	c=1 d=1 t=1225
fei 	菲	c=1 d=1 t=7489
fei 	费	c=4 d=1 t=25569
fei 	非	c=6 d=1.01538 t=24299
fei 	飞	c=6 d=1 t=22012
fei chang 	非常	c=3 d=1 t=20081
fei ji 	飞机	c=4 d=1.956 t=5227
fei jin 	费劲	c=2 d=1 t=7444
fei shu 	飞书	c=28 d=5.62048 t=28385
fei yong 	费用	c=3 d=1 t=6423
fen 	分	c=9 d=1 t=27039
fen bao 	分包	c=2 d=1 t=17671
fen bie 	分别	c=2 d=1 t=17764
fen duan kong jian 	分段控件	c=0 d=0.1 t=7086
fen e 	份额	c=1 d=1 t=12493
fen fen zhong 	分分钟	c=1 d=1 t=12449
fen ge 	分割	c=3 d=2.12265 t=5099
fen jie xian 	分界线	c=1 d=1 t=14687
fen kai 	分开	c=3 d=1 t=24515
fen lei 	分类	c=1 d=1 t=20747
fen li 	分离	c=1 d=1 t=18784
fen liu 	分流	c=1 d=1 t=14236
fen pei 	分配	c=1 d=1 t=1789
fen ping 	分屏	c=1 d=1 t=19606
fen pu 	分朴	c=1 d=1 t=848
fen pu 	分铺	c=1 d=1 t=26606
fen qu 	分区	c=2 d=1 t=27520
fen xi 	分析	c=1 d=1 t=17673
fen zhe 	分着	c=1 d=1 t=18214
fen zhi 	分支	c=8 d=1.98511 t=22826
fen zhong 	分钟	c=1 d=1 t=1843
feng 	凤	c=6 d=1 t=17160
feng 	封	c=1 d=1 t=18201
feng 	峰	c=3 d=1 t=20505
feng 	疯	c=1 d=1 t=12067
feng 	风	c=12 d=1.10574 t=23164
feng bi 	封闭	c=4 d=1.50158 t=22344
feng dao 	风道	c=2 d=1 t=22482
feng du 	封堵	c=1 d=1 t=12967
feng fa 	风阀	c=3 d=1 t=27131
feng gou 	风沟	c=2 d=1.00708 t=3266
feng guan 	风管	c=18 d=2.496 t=27619
feng hui 	峰会	c=4 d=1.06474 t=15957
feng hui ting 	峰会厅	c=1 d=1 t=15865
feng ji 	风机	c=53 d=4.62289 t=25852
feng ji pan guan 	风机盘管	c=1 d=1 t=2417
feng jin 	风紧	c=1 d=1 t=8509
feng kou 	风口	c=97 d=3.24284 t=27600
feng leng 	风冷	c=5 d=1 t=21884
feng liang 	风量	c=23 d=2.05449 t=23805
feng long 	风龙	c=1 d=1 t=10424
feng mao lin jiao 	凤毛麟角	c=1 d=1 t=8491
feng mian 	封面	c=1 d=1 t=7079
feng mu 	风幕	c=4 d=2.04435 t=20102
feng mu ji 	风幕机	c=6 d=1 t=24126
feng pan 	风盘	c=24 d=1.93707 t=27906
feng ru fei tun 	丰乳肥臀	c=1 d=1 t=22065
feng shan 	风扇	c=1 d=1 t=2820
feng sheng 	风声	c=1 d=1 t=11194
feng su 	风速	c=1 d=1 t=20796
feng tai 	丰台	c=1 d=1 t=21398
feng xi 	缝隙	c=2 d=1.99501 t=9507
feng xian 	风险	c=3 d=1 t=24431
feng ya 	风压	c=3 d=1 t=22511
fou 	否	c=1 d=1 t=14868
fou ze 	否则	c=2 d=1 t=15052
fu 	付	c=14 d=1.00001 t=26302
fu 	副	c=1 d=1 t=7014
fu 	服	c=2 d=1.96561 t=14449
fu 	浮	c=0 d=0.1 t=25514
fu 	附	c=2 d=1.99005 t=14200
fu biao 	附表	c=1 d=1 t=24338
fu cha 	复查	c=2 d=1.97045 t=23995
fu chan wu 	副产物	c=2 d=1.9802 t=26272
fu dan 	负担	c=5 d=1.00021 t=15222
fu hao 	富豪	c=1 d=1 t=24251
fu he 	复核	c=1 d=1 t=23818
fu he 	符合	c=9 d=1.09165 t=25388
fu he 	负荷	c=10 d=3.77874 t=10925
fu jian 	附件	c=18 d=1.36711 t=26200
fu jin 	附近	c=5 d=1 t=26856
fu kuan 	付款	c=5 d=1.92774 t=21426
fu mu 	父母	c=1 d=1 t=14944
fu pan 	复盘	c=1 d=1 t=3824
fu qi 	服气	c=1 d=1 t=22724
fu shang 	富商	c=1 d=1 t=24255
fu she 	敷设	c=4 d=2.82439 t=2218
fu she 	辐射	c=2 d=1.98511 t=11881
fu shi 	腐蚀	c=2 d=1.37158 t=2721
fu ti 	扶梯	c=4 d=1 t=19151
fu tu 	附图	c=2 d=1 t=15552
fu wu jian 	服务间	c=1 d=1 t=5746
fu wu yuan 	服务员	c=1 d=1 t=22777
fu ya 	负压	c=1 d=1 t=15909
fu yu 	富裕	c=7 d=1.91393 t=26412
fu za 	复杂	c=6 d=1 t=26041
fu ze 	负责	c=26 d=1.88798 t=27510
fu ze ren 	负责人	c=6 d=1.22537 t=13144
fu zhi 	复制	c=2 d=1 t=21017
fu zhi 	赋值	c=2 d=1.00001 t=14762
fu zhu 	浮筑	c=1 d=1 t=25729
fu zhu ji 	浮筑基	c=1 d=1 t=25515
ga 	噶	c=1 d=1 t=13201
gai 	改	c=108 d=1.02669 t=28197
gai 	盖	c=2 d=1 t=25934
gai 	该	c=9 d=1.59784 t=23220
gai ban 	丐版	c=1 d=1 t=12384
gai bian 	改变	c=4 d=1 t=24030
gai cheng 	改成	c=4 d=1.00095 t=23494
gai er qi 	钙尔奇	c=1 d=1 t=19350
gai gai 	改改	c=1 d=1 t=15368
gai lv 	概率	c=1 d=1 t=26243
gai men 	改门	c=1 d=1 t=25337
gai ming 	改名	c=1 d=1 t=2763
gai qu 	改去	c=1 d=1 t=17922
gai suan 	概算	c=6 d=4.34177 t=25579
gai tian 	改天	c=1 d=1 t=15777
gai tu 	改图	c=2 d=1 t=28365
gai wan 	改完	c=1 d=1 t=10487
gai wei 	改为	c=3 d=1 t=24139
gai zao 	改造	c=6 d=1 t=17126
gai zhang 	盖章	c=4 d=1 t=25930
gan 	干	c=31 d=1.85039 t=28267
gan 	感	c=1 d=1 t=22766
gan 	敢	c=5 d=1 t=27223
gan diao 	干掉	c=1 d=1 t=9841
gan dong 	感动	c=1 d=1 t=15789
gan en jie 	感恩节	c=1 d=1 t=15162
gan ga 	尴尬	c=2 d=1 t=25925
gan gan jing jing 	干干净净	c=1 d=1 t=7233
gan huo 	干活	c=1 d=1 t=16826
gan jin 	赶紧	c=17 d=1.00127 t=26220
gan jue 	感觉	c=12 d=1 t=25657
gan ma 	干嘛	c=12 d=1 t=26080
gan mao 	感冒	c=2 d=1.03782 t=16755
gan shang 	赶上	c=1 d=1 t=8440
gan shi 	干式	c=2 d=1.00354 t=28026
gan shou 	感受	c=1 d=1 t=17336
gan te 	甘特	c=1 d=1 t=3788
gan wan 	干完	c=1 d=1 t=16965
gan wen 	感温	c=1 d=1 t=15361
gan xi 	干系	c=1 d=1 t=17325
gan xie 	感谢	c=2 d=1 t=18283
gan zao 	干燥	c=1 d=1 t=16320
gang 	刚	c=40 d=1.00022 t=28306
gang 	钢	c=2 d=1.00364 t=2195
gang cai 	刚才	c=2 d=1 t=28354
gang gang de 	杠杠的	c=1 d=1 t=17279
gang gu 	港股	c=1 d=1 t=11943
gang guan 	钢管	c=8 d=5.01654 t=2726
gang jia 	钢架	c=3 d=2.20166 t=25758
gang jie gou 	钢结构	c=1 d=1 t=25698
gang lai 	刚来	c=1 d=1 t=7676
gang wei 	岗位	c=1 d=1 t=11201
gang xing 	刚性	c=1 d=1 t=7121
gao 	搞	c=17 d=2.87452 t=26611
gao 	高	c=26 d=1.5975 t=26258
gao cuo 	搞错	c=2 d=1 t=27317
gao da 	高大	c=1 d=1 t=24134
gao dian 	高点	c=2 d=1 t=27561
gao du 	高度	c=15 d=1.00554 t=24678
gao ji 	高级	c=1 d=1 t=13541
gao ke ji 	高科技	c=1 d=1 t=26236
gao qing 	高清	c=1 d=1 t=8181
gao ri 	高日	c=1 d=1 t=10087
gao shou 	高手	c=1 d=1 t=3952
gao su 	告诉	c=11 d=1.23086 t=22283
gao tie 	高铁	c=1 d=1 t=11730
gao wei 	高位	c=1 d=1 t=25341
gao wen 	高温	c=1 d=1 t=23338
gao xiao 	高效	c=1 d=1 t=28375
gao xing 	高兴	c=4 d=1.02004 t=21089
gao yun 	搞晕	c=2 d=1.87372 t=3196
gao zhong 	高中	c=1 d=1 t=8331
gao zhuang 	告状	c=3 d=1 t=22196
ge 	个	c=91 d=1.13573 t=27945
ge 	各	c=4 d=1 t=18416
ge 	哥	c=3 d=1 t=22647
ge 	格	c=1 d=1 t=24090
ge 	葛	c=1 d=1 t=27477
ge 	隔	c=1 d=1 t=23656
ge bi 	隔壁	c=1 d=1 t=15227
ge dan 	歌单	c=1 d=1 t=17990
ge fang 	各方	c=3 d=1 t=25606
ge ge 	各个	c=1 d=1 t=18194
ge jia 	各家	c=1 d=1 t=25669
ge jian 	隔间	c=1 d=1 t=9790
ge kong 	隔空	c=1 d=1 t=28045
ge lan fu 	格兰富	c=3 d=1 t=27899
ge qiang 	隔墙	c=2 d=1 t=14598
ge ren 	个人	c=7 d=1 t=23419
ge sheng 	隔声	c=2 d=1 t=22461
ge shi 	格式	c=2 d=1 t=24766
ge wei 	各位	c=11 d=1.05872 t=23709
ge you qi 	隔油器	c=2 d=1.00022 t=19486
ge yue 	个月	c=1 d=1 t=26092
ge zhen 	隔振	c=1 d=1 t=23305
gei 	给	c=151 d=1.28172 t=28074
gei pai shui 	给排水	c=40 d=1.11464 t=28162
gei shui 	给水	c=13 d=1 t=26266
gei ti 	给提	c=1 d=1 t=13953
gei wo 	给我	c=1 d=1 t=17995
gen 	根	c=4 d=2.92181 t=12003
gen 	跟	c=99 d=2.42517 t=28410
gen jin 	跟进	c=3 d=1.00509 t=4967
gen ju 	根据	c=21 d=1.76721 t=27635
gen ni 	跟你	c=1 d=1 t=7415
gen tou 	跟投	c=1 d=1 t=8467
gen zhe 	跟着	c=9 d=1 t=27495
geng 	更	c=9 d=1 t=25159
geng gui 	更贵	c=1 d=1 t=27084
geng huan 	更换	c=3 d=1 t=12081
geng xin 	更新	c=1 d=1 t=17741
geng zheng 	更正	c=1 d=1 t=22088
gong 	供	c=1 d=1 t=25811
gong 	公	c=6 d=1 t=21351
gong 	共	c=1 d=1 t=7502
gong 	宫	c=3 d=1 t=27694
gong 	工	c=154 d=3.17386 t=28419
gong 	拱	c=1 d=1 t=20370
gong cheng 	工程	c=43 d=4.59879 t=26111
gong cheng bu 	工程部	c=7 d=1 t=23019
gong di 	工地	c=6 d=1.26731 t=20132
gong gong 	公共	c=4 d=1 t=27182
gong hao 	功耗	c=1 d=1 t=8366
gong hui 	供回	c=1 d=1 t=26477
gong hui shui guan 	供回水管	c=1 d=1 t=2485
gong ji 	共济	c=1 d=1 t=15200
gong ju 	工具	c=2 d=1 t=12602
gong kai ke 	公开课	c=1 d=1 t=24865
gong ke 	工科	c=1 d=1 t=18168
gong kuang 	工况	c=2 d=1 t=24703
gong lv 	功率	c=1 d=1 t=918
gong mao 	公猫	c=1 d=1 t=13514
gong neng 	功能	c=8 d=1.79456 t=26720
gong nuan 	供暖	c=1 d=1 t=17277
gong qi 	工期	c=1 d=1 t=15349
gong re 	供热	c=2 d=1 t=15820
gong shang 	工商	c=1 d=1 t=14719
gong shi 	公式	c=1 d=1 t=2178
gong shi 	公示	c=1 d=1 t=13709
gong shuang 	宫双	c=1 d=1 t=12007
gong shui 	供水	c=2 d=1.00016 t=9765
gong si 	公司	c=12 d=1.00245 t=26237
gong tan 	公摊	c=1 d=1 t=10963
gong tong 	共同	c=1 d=1 t=13170
gong wen 	公文	c=1 d=1 t=11445
gong wu yuan 	公务员	c=1 d=1 t=12034
gong xi 	恭喜	c=1 d=1 t=6982
gong xiang 	共享	c=5 d=1 t=22495
gong ye 	工业	c=1 d=1 t=24348
gong yong 	公用	c=1 d=1 t=7461
gong yong 	共用	c=2 d=1 t=27526
gong yuan 	公园	c=3 d=1.94649 t=25166
gong zuo 	工作	c=18 d=2.31832 t=26123
gong zuo biao 	工作表	c=1 d=1 t=15441
gong zuo ying 	工作营	c=1 d=1 t=15464
gou 	够	c=13 d=1.7157 t=24236
gou 	沟	c=6 d=1 t=17147
gou bu gou 	够不够	c=1 d=1 t=24296
gou cao 	沟槽	c=2 d=1.44709 t=2651
gou dui 	勾兑	c=1 d=1 t=17055
gou jian 	构件	c=1 d=1 t=2952
gou tong 	沟通	c=27 d=1.00354 t=27387
gou wu 	购物	c=2 d=1.94649 t=25165
gou zao 	构造	c=4 d=1 t=25806
gu 	故	c=3 d=1.92774 t=25401
gu 	谷	c=1 d=1 t=7010
gu 	顾	c=1 d=1 t=10494
gu bu shang 	顾不上	c=1 d=1 t=7538
gu dao 	鼓捣	c=5 d=1 t=27782
gu ding 	固定	c=5 d=1.00003 t=18527
gu ji 	估计	c=18 d=1.00023 t=28108
gu lou gua wen 	孤陋寡闻	c=1 d=1 t=24629
gu piao 	股票	c=2 d=1 t=16368
